,Cross-1,Average accuracy
0,1.0,1.0
1,0.7142857142857143,0.7143
2,0.8928571428571429,0.8929
3,0.7857142857142857,0.7857
4,0.8928571428571429,0.8929
5,0.6428571428571429,0.6429
6,0.9285714285714286,0.9286
7,0.9285714285714286,0.9286
8,0.7857142857142857,0.7857
9,0.8571428571428571,0.8571
10,0.8571428571428571,0.8571
11,0.8214285714285714,0.8214
12,0.7857142857142857,0.7857
13,1.0,1.0
14,0.75,0.75
15,0.9285714285714286,0.9286
16,0.75,0.75
17,0.9642857142857143,0.9643
18,0.7857142857142857,0.7857
19,0.6785714285714286,0.6786
Average accuracy,0.8374999999999998,0.8375049999999999
